Company,Beta
DRCT,4.88
PR,4.53
SM,4.41
CLSK,3.90
KODK,3.72
MTDR,3.56
APA,3.54
AR,3.47
VTLE,3.37
NINE,3.34
RYAM,3.15
OIS,2.93
VLD,2.83
OII,2.83
FET,2.81
KOS,2.79
OVV,2.79
WES,2.77
ADNT,2.77
CPE,2.75
BGFV,2.74
EXPI,2.70
MP,2.70
DEN,2.68
CLB,2.67
KNTK,2.65
TGI,2.62
SLCA,2.61
ARCT,2.60
CWH,2.57
CHX,2.55
ENLC,2.54
TTI,2.54
CNTY,2.52
PDCE,2.51
TASK,2.50
YETI,2.49
AOSL,2.48
APPS,2.47
HOV,2.47
HRI,2.46
CRGY,2.45
ONEW,2.44
CAAS,2.41
GLOP,2.40
DCP,2.40
AMPY,2.40
LOVE,2.40
PDS,2.40
MRO,2.39
MUR,2.38
AGS,2.37
EBIX,2.37
EAT,2.37
PUMP,2.36
AM,2.36
GDEN,2.35
SBOW,2.35
CAR,2.34
DVN,2.34
SD,2.34
BOOT,2.34
EVRI,2.33
RUN,2.33
CTRN,2.32
CPRI,2.30
PTEN,2.29
TRGP,2.29
JELD,2.26
DOOO,2.26
AXL,2.26
LTRP,2.25
CPG,2.24
SVCS,2.24
CVE,2.24
MOD,2.23
ARHS,2.23
STKS,2.23
JWN,2.22
PENN,2.22
TALO,2.22
GSM,2.22
VET,2.22
TH,2.21
CLF,2.21
BRY,2.19
ERF,2.18
SIX,2.18
TWI,2.18
CPSS,2.18
MRC,2.18
VRTV,2.18
RVP,2.18
JAKK,2.17
PBI,2.17
ATKR,2.17
RRR,2.17
BZH,2.17
ONON,2.17
MGY,2.15
